날짜,순위,팀명,경기,승,패,무,승률,최근10경기
2024.03.23,1,LG,1,1,0,0,1.000,1승0무0패
2024.03.23,1,SSG,1,1,0,0,1.000,1승0무0패
2024.03.23,1,NC,1,1,0,0,1.000,1승0무0패
2024.03.23,1,KIA,1,1,0,0,1.000,1승0무0패
2024.03.23,1,삼성,1,1,0,0,1.000,1승0무0패
2024.03.23,6,KT,1,0,1,0,0.000,0승0무1패
2024.03.23,6,두산,1,0,1,0,0.000,0승0무1패
2024.03.23,6,롯데,1,0,1,0,0.000,0승0무1패
2024.03.23,6,한화,1,0,1,0,0.000,0승0무1패
2024.03.23,6,키움,1,0,1,0,0.000,0승0무1패
2024.03.24,1,SSG,2,2,0,0,1.000,2승0무0패
2024.03.24,1,KIA,1,1,0,0,1.000,1승0무0패
2024.03.24,1,삼성,2,2,0,0,1.000,2승0무0패
2024.03.24,4,LG,2,1,1,0,0.500,1승0무1패
2024.03.24,4,NC,2,1,1,0,0.500,1승0무1패
2024.03.24,4,두산,2,1,1,0,0.500,1승0무1패
2024.03.24,4,한화,2,1,1,0,0.500,1승0무1패
2024.03.24,8,KT,2,0,2,0,0.000,0승0무2패
2024.03.24,8,롯데,2,0,2,0,0.000,0승0무2패
2024.03.24,8,키움,1,0,1,0,0.000,0승0무1패
2024.03.26,1,KIA,2,2,0,0,1.000,2승0무0패
2024.03.26,2,LG,3,2,1,0,0.667,2승0무1패
2024.03.26,2,SSG,3,2,1,0,0.667,2승0무1패
2024.03.26,2,NC,3,2,1,0,0.667,2승0무1패
2024.03.26,2,두산,3,2,1,0,0.667,2승0무1패
2024.03.26,2,삼성,3,2,1,0,0.667,2승0무1패
2024.03.26,2,한화,3,2,1,0,0.667,2승0무1패
2024.03.26,8,KT,3,0,3,0,0.000,0승0무3패
2024.03.26,8,롯데,3,0,3,0,0.000,0승0무3패
2024.03.26,8,키움,2,0,2,0,0.000,0승0무2패
2024.03.27,1,KIA,3,3,0,0,1.000,3승0무0패
2024.03.27,2,NC,4,3,1,0,0.750,3승0무1패
2024.03.27,2,두산,4,3,1,0,0.750,3승0무1패
2024.03.27,2,한화,4,3,1,0,0.750,3승0무1패
2024.03.27,5,LG,4,2,1,1,0.667,2승1무1패
2024.03.27,5,삼성,4,2,1,1,0.667,2승1무1패
2024.03.27,7,SSG,4,2,2,0,0.500,2승0무2패
2024.03.27,8,KT,4,0,4,0,0.000,0승0무4패
2024.03.27,8,롯데,4,0,4,0,0.000,0승0무4패
2024.03.27,8,키움,3,0,3,0,0.000,0승0무3패
2024.03.28,1,KIA,3,3,0,0,1.000,3승0무0패
2024.03.28,2,한화,5,4,1,0,0.800,4승0무1패
2024.03.28,3,LG,5,3,1,1,0.750,3승1무1패
2024.03.28,3,NC,4,3,1,0,0.750,3승0무1패
2024.03.28,5,두산,5,3,2,0,0.600,3승0무2패
2024.03.28,6,삼성,5,2,2,1,0.500,2승1무2패
2024.03.28,7,SSG,5,2,3,0,0.400,2승0무3패
2024.03.28,8,KT,5,1,4,0,0.200,1승0무4패
2024.03.28,9,롯데,4,0,4,0,0.000,0승0무4패
2024.03.28,9,키움,3,0,3,0,0.000,0승0무3패
2024.03.29,1,KIA,4,4,0,0,1.000,4승0무0패
2024.03.29,2,한화,6,5,1,0,0.833,5승0무1패
2024.03.29,3,LG,6,4,1,1,0.800,4승1무1패
2024.03.29,4,NC,5,3,2,0,0.600,3승0무2패
2024.03.29,5,SSG,6,3,3,0,0.500,3승0무3패
2024.03.29,5,두산,6,3,3,0,0.500,3승0무3패
2024.03.29,7,삼성,6,2,3,1,0.400,2승1무3패
2024.03.29,8,롯데,5,1,4,0,0.200,1승0무4패
2024.03.29,9,KT,6,1,5,0,0.167,1승0무5패
2024.03.29,10,키움,4,0,4,0,0.000,0승0무4패
2024.03.30,1,한화,7,6,1,0,0.857,6승0무1패
2024.03.30,2,KIA,5,4,1,0,0.800,4승0무1패
2024.03.30,3,LG,7,4,2,1,0.667,4승1무2패
2024.03.30,3,NC,6,4,2,0,0.667,4승0무2패
2024.03.30,5,SSG,7,4,3,0,0.571,4승0무3패
2024.03.30,5,두산,7,4,3,0,0.571,4승0무3패
